Name_sp	alt_mean	alt_min	alt_max	latitude_mean	latitude_min	latitude_max	mean_temp	min_temp	max_temp
Chilomeniscus stramineus	313.114942528736	5	925	26.7126138967755	22.8882099993233	33.9057999991261	213.505747126437	166	248
Chionactis occipitalis	411.968944099379	-61	1530	33.8263395432494	31.3574878993916	37.8822999990854	201.811594202899	114	233
Chionactis palarostris	291.666666666667	0	658	29.8053201835784	28.0107681346374	32.1927	227.666666666667	204	246
Chlamydosaurus kingii	100.158634538153	3	1050	-14.0812091960914	-23.866	-8.72962974473226	269.784	193	294
Chondrodactylus angulifer	797.447552447552	15	1518	-26.3550568386465	-32.76667	-18.15883	184.307692307692	140	219
Chrysopelea pelias	82.3571428571429	7	539	1.95350071428571	1.33651	5.26965	266.142857142857	250	270
Clonophis kirtlandii	269.291666666667	160	406	40.2699419624914	39.1342183058638	41.6563624076466	104.916666666667	87	119
Cnemaspis beddomei	1585	1585	1585	10.1	10.1	10.1	177	177	177
Coleodactylus septentrionalis	137	137	137	3.41667	3.41667	3.41667	267	267	267
Coleonyx brevis	826.776223776224	94	2565	29.5396773958874	25.017026833974	32.51631	191.797202797203	124	234
Coleonyx elegans	35.32	2	236	20.191357089891	16.7849132964208	21.3838877025509	257.08	247	285
Coleonyx fasciatus	377	67	687	26.038705	25.03158	27.04583	237	227	247
Coleonyx mitratus	119	4	480	11.9803871974162	9.99923939901043	15.5167	264.9	238	274
Coleonyx reticulatus	783.714285714286	697	1085	29.3283860887022	29.2651771404655	29.5051827802065	205.571428571429	195	209
Coleonyx switaki	181.230769230769	21	466	28.8118802560699	27.2819399992307	32.8090999991403	211.642857142857	190	235
Coleonyx variegatus	457.910501193317	-69	1927	33.1151167910086	22.8886309512289	37.4638333297912	198.827175208582	86	248
Compsophis infralineata	838.666666666667	397	1507	-18.5561683333333	-23.65	-15.0373	200.333333333333	167	229
Coniophanes alvarezi	2140	2132	2148	16.7329974582346	16.72856	16.7374349164693	150	150	150
Coniophanes imperialis	91.4098360655738	1	659	19.5584039112979	15.4	26.26288	252.393442622951	227	272
Coniophanes lateritius	1315	1315	1315	20.6905435006745	20.6905435006745	20.6905435006745	209	209	209
Coniophanes piceivittis	517.181818181818	11	1172	13.3413280555487	10.2655231219693	16.6107681882365	240.727272727273	188	271
Coniophanes quinquevittatus	43	4	82	19.6035	18.07	21.137	255.5	253	258
Coniophanes schmidti	57.1428571428571	11	285	20.2863847985591	17.4833299994587	21.280562266163	256.214285714286	251	264
Conophis lineatus	147.396551724138	0	858	16.2839837648794	9.98333	21.284	256.120689655172	228	274
Conophis vittatus	412.4	11	1769	17.28730903281	15.8908058979177	19.9605723125037	253.92	187	276
Conopsis biserialis	2104.75	1516	2752	19.4287297180029	18.57	20.4705560603376	165.375	129	200
Conopsis lineata	2257.6862745098	1345	2978	19.3052115339837	18.37	21.0672058412861	152.764705882353	113	203
Conopsis megalodon	2453.5	2069	2838	17.2790629967686	17.1274050933899	17.4307209001473	137	132	142
Conopsis nasus	2312.7037037037	1546	4959	21.6536124293998	19.02	27.33333	157.037037037037	47	188
Contia tenuis	453.346749226006	-1	2298	38.5381902553558	35.9672924438806	48.89338	134.561728395062	63	171
Cophosaurus texanus	1040.18959913326	52	2956	31.1208297270865	23.9604141968108	35.41	171.340195016251	72	235
Cophoscincopus durus	194	39	404	6.44575	4.9	7.85	253	245	258
Cophoscincopus simulans	478.666666666667	404	576	7.82239666666667	7.533	8.33019	245.666666666667	245	246
Cordylosaurus subtessellatus	777.903846153846	42	1859	-23.3222836538462	-31.76667	-16.93169	193.25	136	235
Cordylus spinosus	1487	1220	1754	-28.858335	-29	-28.71667	152	141	163
