collection_no	collection.authorizer	license	class_name	order_name	family_name	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	collection.reference_no	latdec	lngdec	paleolatdec	paleolngdec	ma_max	ma_min	ma_mid
14430	J. Alroy	CC BY	Reptilia	Squamata			Parasaniwa	cf.	wyomingensis					1414	37.7	-113	45.95	-84.23	83.5	70.6	77.05
14434	J. Alroy	CC BY	Reptilia	Squamata	Necrosauridae	n. gen.	Labrodioctes	n. sp.	montanensis					1098	46.1	-109.1	53.15	-76.17	83.5	70.6	77.05
14446	J. Alroy	CC BY	Reptilia	Squamata	Anguidae		Odaxosaurus		piger		Peltosaurus		piger	3008	47.8082	-109.5897	54.87	-75.76	83.5	70.6	77.05
14446	J. Alroy	CC BY	Reptilia	Squamata	Xenosauridae		Exostinus		lancensis					3008	47.8082	-109.5897	54.87	-75.76	83.5	70.6	77.05
14446	J. Alroy	CC BY	Reptilia	Squamata			Parasaniwa		wyomingensis					3008	47.8082	-109.5897	54.87	-75.76	83.5	70.6	77.05
14446	J. Alroy	CC BY	Reptilia	Squamata	Chamopsiidae		Leptochamops		denticulatus					3008	47.8082	-109.5897	54.87	-75.76	83.5	70.6	77.05
14446	J. Alroy	CC BY	Reptilia	Squamata			Paraderma		bogerti					3008	47.8082	-109.5897	54.87	-75.76	83.5	70.6	77.05
14455	J. Alroy	CC BY	Reptilia	Squamata	Chamopsiidae	cf.	Haptosphenus		sp.					1691	40.3	-74.3	39.42	-44.01	83.5	70.6	77.05
14455	J. Alroy	CC BY	Reptilia	Squamata	Anguidae	cf.	Machaerosaurus		sp.					1691	40.3	-74.3	39.42	-44.01	83.5	70.6	77.05
14455	J. Alroy	CC BY	Reptilia	Squamata	Chamopsiidae	n. gen.	Prototeius	n. sp.	stageri		Chamops		sp.	1691	40.3	-74.3	39.42	-44.01	83.5	70.6	77.05
14455	J. Alroy	CC BY	Reptilia	Squamata	Anguidae	cf.	Odaxosaurus		sp.					1691	40.3	-74.3	39.42	-44.01	83.5	70.6	77.05
14455	J. Alroy	CC BY	Reptilia	Squamata	Chamopsiidae		Prototeius		stageri		Leptochamops		sp.	1691	40.3	-74.3	39.42	-44.01	83.5	70.6	77.05
14455	J. Alroy	CC BY	Reptilia	Squamata	Mosasauridae	cf.	Halisaurus		sp.					1691	40.3	-74.3	39.42	-44.01	83.5	70.6	77.05
14455	J. Alroy	CC BY	Reptilia	Squamata	Globauridae	?	Contogenys		sp.		Contogenys		sp.	1691	40.3	-74.3	39.42	-44.01	83.5	70.6	77.05
14458	J. Alroy	CC BY	Reptilia	Squamata	Chamopsiidae		Leptochamops		thrinax					2237	42.8544	-107.2781	49.66	-75.82	83.5	70.6	77.05
14463	J. Alroy	CC BY	Reptilia	Squamata	Teiidae	n. gen.	Sphenosiagon	n. sp.	simplex					1517	49.9567	-110.2662	57.05	-75.2	83.5	70.6	77.05
14463	J. Alroy	CC BY	Reptilia	Squamata	Chamopsiidae		Leptochamops	cf.	denticulatus					1517	49.9567	-110.2662	57.05	-75.2	83.5	70.6	77.05
14463	J. Alroy	CC BY	Reptilia	Squamata	Teiidae	n. gen.	Gerontoseps	n. sp.	irvinensis					1517	49.9567	-110.2662	57.05	-75.2	83.5	70.6	77.05
14463	J. Alroy	CC BY	Reptilia	Squamata	Scincidae	n. gen.	Orthrioscincus	n. sp.	mixtus					1517	49.9567	-110.2662	57.05	-75.2	83.5	70.6	77.05
14463	J. Alroy	CC BY	Reptilia	Squamata	Chamopsiidae		Socognathus		unicuspis					1517	49.9567	-110.2662	57.05	-75.2	83.5	70.6	77.05
14463	J. Alroy	CC BY	Reptilia	Squamata	Anguidae		Odaxosaurus	n. sp.	priscus					1517	49.9567	-110.2662	57.05	-75.2	83.5	70.6	77.05
14463	J. Alroy	CC BY	Reptilia	Squamata	Teiidae	n. gen.	Glyptogenys	n. sp.	ornata					1517	49.9567	-110.2662	57.05	-75.2	83.5	70.6	77.05
